Driver,Team,Grid,Finishpos,FastestLap,AverageTime,pitstops
RUS,Mercedes,8.0,6.0,0 days 00:01:50.603000,0 days 00:01:53.209146341,1
NOR,McLaren,7.0,7.0,0 days 00:01:51.682000,0 days 00:01:53.375268292,2
OCO,Alpine,14.0,8.0,0 days 00:01:50.439000,0 days 00:01:53.290400,2
STR,Aston Martin,10.0,9.0,0 days 00:01:51.297000,0 days 00:01:53.472487804,1
TSU,AlphaTauri,11.0,10.0,0 days 00:01:51.394000,0 days 00:01:53.599536585,2
GAS,Alpine,12.0,11.0,0 days 00:01:50.911000,0 days 00:01:53.658536585,1
BOT,Alfa Romeo,13.0,12.0,0 days 00:01:50.515000,0 days 00:01:53.567850,2
ZHO,Alfa Romeo,17.0,13.0,0 days 00:01:50.188000,0 days 00:01:53.528052631,2
ALB,Williams,15.0,14.0,0 days 00:01:49.841000,0 days 00:01:53.283270270,3
MAG,Haas F1 Team,16.0,15.0,0 days 00:01:50.993000,0 days 00:01:53.919350,2
RIC,AlphaTauri,19.0,16.0,0 days 00:01:50.994000,0 days 00:01:53.519538461,2
SAR,Williams,18.0,17.0,0 days 00:01:50.236000,0 days 00:01:53.645342105,3
HUL,Haas F1 Team,20.0,18.0,0 days 00:01:49.907000,0 days 00:01:53.991538461,2
SAI,Ferrari,4.0,19.0,0 days 00:01:53.138000,0 days 00:01:56.120300,1
PIA,McLaren,5.0,20.0,,,0
VER,Red Bull Racing,1.0,1.0,0 days 00:01:13.889000,0 days 00:01:15.406097560,6
ALO,Aston Martin,5.0,2.0,0 days 00:01:13.837000,0 days 00:01:15.668243902,5
GAS,Alpine,12.0,3.0,0 days 00:01:14.441000,0 days 00:01:15.902425,5
PER,Red Bull Racing,7.0,4.0,0 days 00:01:14.231000,0 days 00:01:15.625100,6
SAI,Ferrari,6.0,5.0,0 days 00:01:14.934000,0 days 00:01:16.066536585,5
HAM,Mercedes,13.0,6.0,0 days 00:01:13.904000,0 days 00:01:16.123525,5
NOR,McLaren,2.0,7.0,0 days 00:01:14.390000,0 days 00:01:16.203125,6
ALB,Williams,4.0,8.0,0 days 00:01:14.468000,0 days 00:01:16.121095238,4
PIA,McLaren,8.0,9.0,0 days 00:01:14.299000,0 days 00:01:16.182219512,5
OCO,Alpine,16.0,10.0,0 days 00:01:14.570000,0 days 00:01:16.265829268,6
STR,Aston Martin,11.0,11.0,0 days 00:01:15.171000,0 days 00:01:16.664243902,7
HUL,Haas F1 Team,14.0,12.0,0 days 00:01:14.472000,0 days 00:01:16.740119047,5
LAW,AlphaTauri,19.0,13.0,0 days 00:01:14.820000,0 days 00:01:17.083825,7
BOT,Alfa Romeo,18.0,14.0,0 days 00:01:14.698000,0 days 00:01:17.124166666,5
TSU,AlphaTauri,17.0,15.0,0 days 00:01:16.253000,0 days 00:01:17.085071428,5
MAG,Haas F1 Team,0.0,16.0,0 days 00:01:15.489000,0 days 00:01:17.077476190,6
RUS,Mercedes,3.0,17.0,0 days 00:01:15.124000,0 days 00:01:16.562261904,7
ZHO,Alfa Romeo,15.0,18.0,0 days 00:01:15.417000,0 days 00:01:16.828341463,4
LEC,Ferrari,9.0,19.0,0 days 00:01:17.277000,0 days 00:01:17.941136363,2
SAR,Williams,10.0,20.0,0 days 00:01:17.399000,0 days 00:01:18.957800,0
VER,Red Bull Racing,2.0,1.0,0 days 00:01:25.240000,0 days 00:01:26.309660,1
PER,Red Bull Racing,5.0,2.0,0 days 00:01:25.522000,0 days 00:01:26.439580,1
SAI,Ferrari,1.0,3.0,0 days 00:01:25.501000,0 days 00:01:26.401265306,1
LEC,Ferrari,3.0,4.0,0 days 00:01:25.580000,0 days 00:01:26.533560,1
RUS,Mercedes,4.0,5.0,0 days 00:01:25.847000,0 days 00:01:26.570938775,1
HAM,Mercedes,8.0,6.0,0 days 00:01:25.582000,0 days 00:01:26.825104166,1
ALB,Williams,6.0,7.0,0 days 00:01:26.389000,0 days 00:01:27.172880,1
NOR,McLaren,9.0,8.0,0 days 00:01:26.144000,0 days 00:01:27.206200,1
ALO,Aston Martin,10.0,9.0,0 days 00:01:26.105000,0 days 00:01:26.967666666,1
BOT,Alfa Romeo,14.0,10.0,0 days 00:01:25.988000,0 days 00:01:27.317553191,1
LAW,AlphaTauri,12.0,11.0,0 days 00:01:25.842000,0 days 00:01:27.063673913,2
PIA,McLaren,7.0,12.0,0 days 00:01:25.072000,0 days 00:01:26.874456521,2
SAR,Williams,15.0,13.0,0 days 00:01:26.840000,0 days 00:01:27.476148936,1
ZHO,Alfa Romeo,16.0,14.0,0 days 00:01:25.983000,0 days 00:01:27.094977777,2
GAS,Alpine,17.0,15.0,0 days 00:01:25.758000,0 days 00:01:27.060755555,2
STR,Aston Martin,20.0,16.0,0 days 00:01:26.617000,0 days 00:01:27.640085106,1
HUL,Haas F1 Team,13.0,17.0,0 days 00:01:25.894000,0 days 00:01:27.319266666,2
MAG,Haas F1 Team,19.0,18.0,0 days 00:01:26.278000,0 days 00:01:27.446955555,2
OCO,Alpine,18.0,19.0,0 days 00:01:26.963000,0 days 00:01:27.766885714,1
TSU,AlphaTauri,11.0,20.0,,,0
SAI,Ferrari,1.0,1.0,0 days 00:01:37.666000,0 days 00:01:39.672280701,1
NOR,McLaren,4.0,2.0,0 days 00:01:38.046000,0 days 00:01:39.669125,1
HAM,Mercedes,5.0,3.0,0 days 00:01:35.867000,0 days 00:01:39.168716981,2
LEC,Ferrari,3.0,4.0,0 days 00:01:38.275000,0 days 00:01:40.087421052,1
VER,Red Bull Racing,11.0,5.0,0 days 00:01:36.575000,0 days 00:01:39.585961538,1
GAS,Alpine,12.0,6.0,0 days 00:01:38.277000,0 days 00:01:40.488927272,1
PIA,McLaren,17.0,7.0,0 days 00:01:38.492000,0 days 00:01:40.546890909,1
PER,Red Bull Racing,13.0,8.0,0 days 00:01:37.108000,0 days 00:01:40.251792452,1
LAW,AlphaTauri,10.0,9.0,0 days 00:01:39.028000,0 days 00:01:40.962036363,1
MAG,Haas F1 Team,6.0,10.0,0 days 00:01:38.107000,0 days 00:01:40.542345454,2
ALB,Williams,14.0,11.0,0 days 00:01:37.342000,0 days 00:01:40.505781818,2
ZHO,Alfa Romeo,19.0,12.0,0 days 00:01:39.316000,0 days 00:01:41.078358490,2
HUL,Haas F1 Team,9.0,13.0,0 days 00:01:39.923000,0 days 00:01:41.293690909,1
SAR,Williams,18.0,14.0,0 days 00:01:38.531000,0 days 00:01:40.231410714,2
ALO,Aston Martin,7.0,15.0,0 days 00:01:36.456000,0 days 00:01:40.095215686,2
RUS,Mercedes,2.0,16.0,0 days 00:01:36.273000,0 days 00:01:39.374781818,2
BOT,Alfa Romeo,16.0,17.0,0 days 00:01:38.075000,0 days 00:01:40.908804878,1
OCO,Alpine,8.0,18.0,0 days 00:01:39.930000,0 days 00:01:40.837500,1
TSU,AlphaTauri,15.0,19.0,,,0
STR,Aston Martin,,,,,0
VER,Red Bull Racing,1.0,1.0,0 days 00:01:34.183000,0 days 00:01:37.284444444,2
NOR,McLaren,3.0,2.0,0 days 00:01:35.247000,0 days 00:01:37.673043478,2
PIA,McLaren,2.0,3.0,0 days 00:01:36.328000,0 days 00:01:38.234297872,2
LEC,Ferrari,4.0,4.0,0 days 00:01:36.362000,0 days 00:01:38.329913043,2
HAM,Mercedes,7.0,5.0,0 days 00:01:35.611000,0 days 00:01:38.257111111,2
SAI,Ferrari,6.0,6.0,0 days 00:01:36.187000,0 days 00:01:38.446673913,2
RUS,Mercedes,8.0,7.0,0 days 00:01:37.653000,0 days 00:01:38.934063829,1
ALO,Aston Martin,10.0,8.0,0 days 00:01:37.203000,0 days 00:01:38.958288888,2
OCO,Alpine,14.0,9.0,0 days 00:01:37.398000,0 days 00:01:39.291630434,2
GAS,Alpine,12.0,10.0,0 days 00:01:36.371000,0 days 00:01:38.814931818,2
LAW,AlphaTauri,11.0,11.0,0 days 00:01:38.267000,0 days 00:01:39.423636363,2
TSU,AlphaTauri,9.0,12.0,0 days 00:01:37.768000,0 days 00:01:39.473090909,2
ZHO,Alfa Romeo,19.0,13.0,0 days 00:01:37.791000,0 days 00:01:39.445068181,3
HUL,Haas F1 Team,18.0,14.0,0 days 00:01:37.250000,0 days 00:01:39.058093023,3
MAG,Haas F1 Team,15.0,15.0,0 days 00:01:37.842000,0 days 00:01:39.463622222,2
ALB,Williams,13.0,16.0,0 days 00:01:39.185000,0 days 00:01:40.485894736,2
SAR,Williams,20.0,17.0,0 days 00:01:38.848000,0 days 00:01:41.203800,3
STR,Aston Martin,17.0,18.0,0 days 00:01:39.050000,0 days 00:01:40.212428571,1
PER,Red Bull Racing,5.0,19.0,0 days 00:01:39.704000,0 days 00:01:40.384000,4
BOT,Alfa Romeo,16.0,20.0,0 days 00:01:46.852000,0 days 00:01:46.852000,2
VER,Red Bull Racing,1.0,1.0,0 days 00:01:24.319000,0 days 00:01:27.172065217,3
PIA,McLaren,6.0,2.0,0 days 00:01:24.921000,0 days 00:01:27.284062500,3
NOR,McLaren,10.0,3.0,0 days 00:01:24.842000,0 days 00:01:27.178630434,3
RUS,Mercedes,2.0,4.0,0 days 00:01:25.770000,0 days 00:01:27.767489361,4
LEC,Ferrari,5.0,5.0,0 days 00:01:24.992000,0 days 00:01:27.870000,3
ALO,Aston Martin,4.0,6.0,0 days 00:01:26.045000,0 days 00:01:28.005404255,3
OCO,Alpine,8.0,7.0,0 days 00:01:26.450000,0 days 00:01:28.339020833,3
BOT,Alfa Romeo,9.0,8.0,0 days 00:01:26.652000,0 days 00:01:28.844510204,3
ZHO,Alfa Romeo,19.0,9.0,0 days 00:01:26.323000,0 days 00:01:28.474739130,3
PER,Red Bull Racing,20.0,10.0,0 days 00:01:26.220000,0 days 00:01:28.353319148,3
STR,Aston Martin,16.0,11.0,0 days 00:01:26.352000,0 days 00:01:28.837020833,3
GAS,Alpine,7.0,12.0,0 days 00:01:25.793000,0 days 00:01:28.305382978,3
ALB,Williams,13.0,13.0,0 days 00:01:26.666000,0 days 00:01:28.587808510,3
MAG,Haas F1 Team,18.0,14.0,0 days 00:01:27.067000,0 days 00:01:29.286625,3
TSU,AlphaTauri,11.0,15.0,0 days 00:01:27.174000,0 days 00:01:29.104638297,3
HUL,Haas F1 Team,14.0,16.0,0 days 00:01:26.444000,0 days 00:01:28.651911111,3
LAW,AlphaTauri,17.0,17.0,0 days 00:01:27.113000,0 days 00:01:29.780770833,3
SAR,Williams,15.0,18.0,0 days 00:01:27.983000,0 days 00:01:29.731709677,2
HAM,Mercedes,3.0,19.0,,,0
SAI,Ferrari,12.0,20.0,,,0
VER,Red Bull Racing,6.0,1.0,0 days 00:01:40.028000,0 days 00:01:41.453611111,2
NOR,McLaren,2.0,2.0,0 days 00:01:39.985000,0 days 00:01:41.663777777,2
SAI,Ferrari,4.0,3.0,0 days 00:01:40.034000,0 days 00:01:41.755703703,2
PER,Red Bull Racing,9.0,4.0,0 days 00:01:39.737000,0 days 00:01:41.686735849,2
RUS,Mercedes,5.0,5.0,0 days 00:01:39.393000,0 days 00:01:41.814452830,2
GAS,Alpine,7.0,6.0,0 days 00:01:40.412000,0 days 00:01:42.218207547,2
STR,Aston Martin,20.0,7.0,0 days 00:01:39.908000,0 days 00:01:42.126867924,2
TSU,AlphaTauri,11.0,8.0,0 days 00:01:38.139000,0 days 00:01:42.253921568,3
ALB,Williams,15.0,9.0,0 days 00:01:41.318000,0 days 00:01:42.757962264,2
SAR,Williams,16.0,10.0,0 days 00:01:41.238000,0 days 00:01:42.831339622,2
HUL,Haas F1 Team,18.0,11.0,0 days 00:01:40.925000,0 days 00:01:42.848358490,2
BOT,Alfa Romeo,13.0,12.0,0 days 00:01:41.972000,0 days 00:01:43.065018867,2
ZHO,Alfa Romeo,12.0,13.0,0 days 00:01:41.879000,0 days 00:01:43.332641509,2
MAG,Haas F1 Team,17.0,14.0,0 days 00:01:41.506000,0 days 00:01:43.251480769,2
RIC,AlphaTauri,14.0,15.0,0 days 00:01:39.366000,0 days 00:01:43.277307692,2
ALO,Aston Martin,19.0,16.0,0 days 00:01:39.954000,0 days 00:01:42.533111111,2
PIA,McLaren,10.0,17.0,0 days 00:01:42.705000,0 days 00:01:43.474888888,0
OCO,Alpine,8.0,18.0,0 days 00:01:44.789000,0 days 00:01:48.074833333,0
HAM,Mercedes,3.0,19.0,0 days 00:01:39.582000,0 days 00:01:41.479148148,2
LEC,Ferrari,1.0,20.0,0 days 00:01:41.025000,0 days 00:01:42.238727272,1
VER,Red Bull Racing,3.0,1.0,0 days 00:01:21.644000,0 days 00:01:22.819569230,3
HAM,Mercedes,6.0,2.0,0 days 00:01:21.334000,0 days 00:01:23.210703125,2
LEC,Ferrari,1.0,3.0,0 days 00:01:22.332000,0 days 00:01:23.408200,2
SAI,Ferrari,2.0,4.0,0 days 00:01:22.539000,0 days 00:01:23.569200,2
NOR,McLaren,17.0,5.0,0 days 00:01:21.944000,0 days 00:01:23.527390625,3
RUS,Mercedes,8.0,6.0,0 days 00:01:22.780000,0 days 00:01:23.752781250,2
RIC,AlphaTauri,4.0,7.0,0 days 00:01:22.679000,0 days 00:01:23.748343750,2
PIA,McLaren,7.0,8.0,0 days 00:01:22.760000,0 days 00:01:23.740750,2
ALB,Williams,14.0,9.0,0 days 00:01:22.773000,0 days 00:01:24.220400,2
OCO,Alpine,15.0,10.0,0 days 00:01:22.976000,0 days 00:01:24.631609375,1
GAS,Alpine,11.0,11.0,0 days 00:01:23.230000,0 days 00:01:24.354515625,2
TSU,AlphaTauri,18.0,12.0,0 days 00:01:22.501000,0 days 00:01:24.010741935,2
HUL,Haas F1 Team,12.0,13.0,0 days 00:01:23.222000,0 days 00:01:24.565921875,2
ZHO,Alfa Romeo,10.0,14.0,0 days 00:01:23.567000,0 days 00:01:24.631140625,2
BOT,Alfa Romeo,9.0,15.0,0 days 00:01:23.166000,0 days 00:01:24.734703125,2
SAR,Williams,19.0,16.0,0 days 00:01:23.003000,0 days 00:01:24.499393442,2
STR,Aston Martin,0.0,17.0,0 days 00:01:23.257000,0 days 00:01:24.606392857,2
ALO,Aston Martin,13.0,18.0,0 days 00:01:23.531000,0 days 00:01:25.296868421,2
MAG,Haas F1 Team,16.0,19.0,0 days 00:01:23.146000,0 days 00:01:25.069214285,1
PER,Red Bull Racing,5.0,20.0,0 days 00:01:43.446000,0 days 00:01:43.446000,0
VER,Red Bull Racing,1.0,1.0,0 days 00:01:13.422000,0 days 00:01:15.303952380,4
NOR,McLaren,6.0,2.0,0 days 00:01:12.486000,0 days 00:01:15.384047619,4
ALO,Aston Martin,4.0,3.0,0 days 00:01:14.442000,0 days 00:01:15.759936507,4
PER,Red Bull Racing,9.0,4.0,0 days 00:01:14.124000,0 days 00:01:15.738841269,4
STR,Aston Martin,3.0,5.0,0 days 00:01:14.007000,0 days 00:01:15.842111111,4
SAI,Ferrari,7.0,6.0,0 days 00:01:14.406000,0 days 00:01:15.996031746,4
GAS,Alpine,15.0,7.0,0 days 00:01:14.521000,0 days 00:01:16.037761904,4
HAM,Mercedes,5.0,8.0,0 days 00:01:14.739000,0 days 00:01:16.165698412,4
TSU,AlphaTauri,16.0,9.0,0 days 00:01:14.231000,0 days 00:01:16.088887096,4
OCO,Alpine,14.0,10.0,0 days 00:01:14.206000,0 days 00:01:16.174550,5
SAR,Williams,19.0,11.0,0 days 00:01:15.738000,0 days 00:01:16.697048387,4
HUL,Haas F1 Team,11.0,12.0,0 days 00:01:15.036000,0 days 00:01:16.751548387,4
RIC,AlphaTauri,17.0,13.0,0 days 00:01:13.866000,0 days 00:01:16.134841269,4
PIA,McLaren,10.0,14.0,0 days 00:01:14.310000,0 days 00:01:16.272887096,4
RUS,Mercedes,8.0,15.0,0 days 00:01:14.934000,0 days 00:01:16.597229166,4
BOT,Alfa Romeo,18.0,16.0,0 days 00:01:15.731000,0 days 00:01:17.035375,3
ZHO,Alfa Romeo,20.0,17.0,0 days 00:01:16.232000,0 days 00:01:17.404812500,3
MAG,Haas F1 Team,12.0,18.0,,,0
ALB,Williams,13.0,19.0,,,0
LEC,Ferrari,2.0,20.0,,,0
VER,Red Bull Racing,2.0,1.0,0 days 00:01:35.614000,0 days 00:01:37.676000,2
LEC,Ferrari,1.0,2.0,0 days 00:01:35.669000,0 days 00:01:37.798897435,1
PER,Red Bull Racing,11.0,3.0,0 days 00:01:35.939000,0 days 00:01:37.773850,2
OCO,Alpine,16.0,4.0,0 days 00:01:36.637000,0 days 00:01:38.448666666,1
STR,Aston Martin,19.0,5.0,0 days 00:01:36.584000,0 days 00:01:38.479275,2
SAI,Ferrari,12.0,6.0,0 days 00:01:35.984000,0 days 00:01:38.563600,2
HAM,Mercedes,10.0,7.0,0 days 00:01:35.716000,0 days 00:01:38.262815789,2
RUS,Mercedes,3.0,8.0,0 days 00:01:36.071000,0 days 00:01:38.256871794,2
ALO,Aston Martin,9.0,9.0,0 days 00:01:36.559000,0 days 00:01:38.758100,2
PIA,McLaren,18.0,10.0,0 days 00:01:35.490000,0 days 00:01:38.075000,2
GAS,Alpine,4.0,11.0,0 days 00:01:36.913000,0 days 00:01:38.828948717,1
ALB,Williams,5.0,12.0,0 days 00:01:37.357000,0 days 00:01:39.099589743,1
MAG,Haas F1 Team,8.0,13.0,0 days 00:01:37.455000,0 days 00:01:39.268461538,2
RIC,AlphaTauri,14.0,14.0,0 days 00:01:37.108000,0 days 00:01:39.417131578,1
ZHO,Alfa Romeo,17.0,15.0,0 days 00:01:37.375000,0 days 00:01:39.678804878,1
SAR,Williams,6.0,16.0,0 days 00:01:37.740000,0 days 00:01:39.315102564,1
BOT,Alfa Romeo,7.0,17.0,0 days 00:01:37.562000,0 days 00:01:40.746921052,2
TSU,AlphaTauri,20.0,18.0,0 days 00:01:37.587000,0 days 00:01:40.034121212,2
HUL,Haas F1 Team,13.0,19.0,0 days 00:01:37.565000,0 days 00:01:39.469294117,2
NOR,McLaren,15.0,20.0,0 days 00:01:59.327000,0 days 00:01:59.327000,0
VER,Red Bull Racing,1.0,1.0,0 days 00:01:26.993000,0 days 00:01:29.361892857,2
LEC,Ferrari,2.0,2.0,0 days 00:01:28.199000,0 days 00:01:29.668839285,2
RUS,Mercedes,4.0,3.0,0 days 00:01:28.187000,0 days 00:01:29.624181818,2
PER,Red Bull Racing,9.0,4.0,0 days 00:01:27.493000,0 days 00:01:29.531309090,2
NOR,McLaren,5.0,5.0,0 days 00:01:28.164000,0 days 00:01:29.750196428,2
PIA,McLaren,3.0,6.0,0 days 00:01:28.138000,0 days 00:01:29.937392857,2
ALO,Aston Martin,7.0,7.0,0 days 00:01:28.256000,0 days 00:01:29.923781818,2
TSU,AlphaTauri,6.0,8.0,0 days 00:01:29.256000,0 days 00:01:30.444000,1
HAM,Mercedes,11.0,9.0,0 days 00:01:28.372000,0 days 00:01:30.003727272,2
STR,Aston Martin,13.0,10.0,0 days 00:01:28.050000,0 days 00:01:30.224072727,2
RIC,AlphaTauri,15.0,11.0,0 days 00:01:28.571000,0 days 00:01:30.156163636,2
OCO,Alpine,12.0,12.0,0 days 00:01:30.033000,0 days 00:01:30.717589285,1
GAS,Alpine,10.0,13.0,0 days 00:01:29.016000,0 days 00:01:30.429854545,2
ALB,Williams,14.0,14.0,0 days 00:01:27.845000,0 days 00:01:30.363240740,2
HUL,Haas F1 Team,8.0,15.0,0 days 00:01:29.217000,0 days 00:01:30.656145454,2
SAR,Williams,20.0,16.0,0 days 00:01:28.580000,0 days 00:01:30.585296296,2
ZHO,Alfa Romeo,19.0,17.0,0 days 00:01:28.746000,0 days 00:01:30.687054545,2
SAI,Ferrari,16.0,18.0,0 days 00:01:29.452000,0 days 00:01:30.576759259,2
BOT,Alfa Romeo,18.0,19.0,0 days 00:01:29.863000,0 days 00:01:31.302709090,1
MAG,Haas F1 Team,17.0,20.0,0 days 00:01:29.934000,0 days 00:01:30.991462962,2
VER,Red Bull Racing,1.0,1.0,0 days 00:01:32.608000,0 days 00:01:35.685150943,2
PER,Red Bull Racing,5.0,2.0,0 days 00:01:34.364000,0 days 00:01:36.250309090,2
SAI,Ferrari,4.0,3.0,0 days 00:01:34.507000,0 days 00:01:36.309218181,2
LEC,Ferrari,2.0,4.0,0 days 00:01:34.090000,0 days 00:01:36.463648148,2
RUS,Mercedes,3.0,5.0,0 days 00:01:35.065000,0 days 00:01:36.650963636,2
NOR,McLaren,7.0,6.0,0 days 00:01:34.476000,0 days 00:01:36.599333333,2
HAM,Mercedes,9.0,7.0,0 days 00:01:34.722000,0 days 00:01:36.635648148,2
PIA,McLaren,8.0,8.0,0 days 00:01:34.774000,0 days 00:01:36.664981481,2
ALO,Aston Martin,6.0,9.0,0 days 00:01:34.199000,0 days 00:01:37.002566037,2
STR,Aston Martin,12.0,10.0,0 days 00:01:35.632000,0 days 00:01:37.283129629,2
ZHO,Kick Sauber,17.0,11.0,0 days 00:01:35.458000,0 days 00:01:37.552754716,2
MAG,Haas F1 Team,15.0,12.0,0 days 00:01:35.570000,0 days 00:01:37.591924528,2
RIC,RB,14.0,13.0,0 days 00:01:35.163000,0 days 00:01:37.489538461,2
TSU,RB,11.0,14.0,0 days 00:01:35.833000,0 days 00:01:37.617622641,2
ALB,Williams,13.0,15.0,0 days 00:01:35.723000,0 days 00:01:37.655981132,2
HUL,Haas F1 Team,10.0,16.0,0 days 00:01:34.834000,0 days 00:01:36.982711538,3
OCO,Alpine,19.0,17.0,0 days 00:01:36.226000,0 days 00:01:37.947150943,2
GAS,Alpine,20.0,18.0,0 days 00:01:34.805000,0 days 00:01:37.404843137,3
BOT,Kick Sauber,16.0,19.0,0 days 00:01:36.202000,0 days 00:01:37.787384615,2
SAR,Williams,18.0,20.0,0 days 00:01:34.735000,0 days 00:01:37.512812500,3
VER,Red Bull Racing,1.0,1.0,0 days 00:01:31.773000,0 days 00:01:32.984595744,1
PER,Red Bull Racing,3.0,2.0,0 days 00:01:32.273000,0 days 00:01:33.213531914,1
LEC,Ferrari,2.0,3.0,0 days 00:01:31.632000,0 days 00:01:33.447382978,1
PIA,McLaren,5.0,4.0,0 days 00:01:32.310000,0 days 00:01:33.782744680,1
ALO,Aston Martin,4.0,5.0,0 days 00:01:32.387000,0 days 00:01:33.869978723,1
RUS,Mercedes,7.0,6.0,0 days 00:01:32.254000,0 days 00:01:33.888217391,1
BEA,Ferrari,11.0,7.0,0 days 00:01:32.186000,0 days 00:01:34.031695652,1
NOR,McLaren,6.0,8.0,0 days 00:01:31.944000,0 days 00:01:33.675222222,1
HAM,Mercedes,8.0,9.0,0 days 00:01:31.746000,0 days 00:01:33.762866666,1
HUL,Haas F1 Team,15.0,10.0,0 days 00:01:32.366000,0 days 00:01:34.474822222,1
ALB,Williams,12.0,11.0,0 days 00:01:32.307000,0 days 00:01:34.903555555,1
MAG,Haas F1 Team,13.0,12.0,0 days 00:01:32.338000,0 days 00:01:34.865888888,1
OCO,Alpine,17.0,13.0,0 days 00:01:33.481000,0 days 00:01:35.334866666,1
SAR,Williams,19.0,14.0,0 days 00:01:33.026000,0 days 00:01:35.264500,1
TSU,RB,9.0,15.0,0 days 00:01:33.523000,0 days 00:01:35.286733333,1
RIC,RB,14.0,16.0,0 days 00:01:33.323000,0 days 00:01:35.341953488,1
BOT,Kick Sauber,16.0,17.0,0 days 00:01:32.706000,0 days 00:01:35.219953488,2
ZHO,Kick Sauber,20.0,18.0,0 days 00:01:32.208000,0 days 00:01:35.019818181,1
STR,Aston Martin,10.0,19.0,0 days 00:01:35.560000,0 days 00:01:35.794750,0
GAS,Alpine,18.0,20.0,0 days 00:02:01.453000,0 days 00:02:01.453000,0
SAI,Ferrari,2.0,1.0,0 days 00:01:20.031000,0 days 00:01:21.458333333,2
LEC,Ferrari,4.0,2.0,0 days 00:01:19.813000,0 days 00:01:21.491060,2
NOR,McLaren,3.0,3.0,0 days 00:01:19.915000,0 days 00:01:21.551980,2
PIA,McLaren,5.0,4.0,0 days 00:01:20.199000,0 days 00:01:21.867740,2
PER,Red Bull Racing,6.0,5.0,0 days 00:01:20.388000,0 days 00:01:22.022640,2
STR,Aston Martin,9.0,6.0,0 days 00:01:20.930000,0 days 00:01:22.609940,2
TSU,RB,8.0,7.0,0 days 00:01:21.134000,0 days 00:01:22.654940,2
ALO,Aston Martin,10.0,8.0,0 days 00:01:20.493000,0 days 00:01:22.431784313,2
HUL,Haas F1 Team,16.0,9.0,0 days 00:01:21.145000,0 days 00:01:22.864215686,2
MAG,Haas F1 Team,14.0,10.0,0 days 00:01:21.082000,0 days 00:01:22.887440,2
ALB,Williams,12.0,11.0,0 days 00:01:21.618000,0 days 00:01:22.968580,2
RIC,RB,18.0,12.0,0 days 00:01:21.239000,0 days 00:01:22.889820,2
GAS,Alpine,17.0,13.0,0 days 00:01:21.090000,0 days 00:01:23.146420,2
BOT,Kick Sauber,13.0,14.0,0 days 00:01:21.422000,0 days 00:01:22.838000,2
ZHO,Kick Sauber,19.0,15.0,0 days 00:01:21.327000,0 days 00:01:22.971122448,2
OCO,Alpine,15.0,16.0,0 days 00:01:21.354000,0 days 00:01:22.897145833,3
RUS,Mercedes,7.0,17.0,0 days 00:01:20.284000,0 days 00:01:22.370306122,2
HAM,Mercedes,11.0,18.0,0 days 00:01:22.444000,0 days 00:01:23.683076923,1
VER,Red Bull Racing,1.0,19.0,0 days 00:01:23.115000,0 days 00:01:24.890666666,0
VER,Red Bull Racing,1.0,1.0,0 days 00:01:33.706000,0 days 00:01:36.096276595,3
PER,Red Bull Racing,2.0,2.0,0 days 00:01:33.945000,0 days 00:01:36.375404255,3
SAI,Ferrari,4.0,3.0,0 days 00:01:33.841000,0 days 00:01:36.502510638,3
LEC,Ferrari,8.0,4.0,0 days 00:01:35.044000,0 days 00:01:36.918250,2
NOR,McLaren,3.0,5.0,0 days 00:01:35.186000,0 days 00:01:36.756583333,3
ALO,Aston Martin,5.0,6.0,0 days 00:01:34.726000,0 days 00:01:37.051916666,3
RUS,Mercedes,9.0,7.0,0 days 00:01:34.404000,0 days 00:01:37.059583333,3
PIA,McLaren,6.0,8.0,0 days 00:01:34.802000,0 days 00:01:37.050020833,3
HAM,Mercedes,7.0,9.0,0 days 00:01:33.952000,0 days 00:01:36.974304347,3
TSU,RB,10.0,10.0,0 days 00:01:36.342000,0 days 00:01:38.066468085,3
HUL,Haas F1 Team,12.0,11.0,0 days 00:01:35.325000,0 days 00:01:37.993760869,3
STR,Aston Martin,16.0,12.0,0 days 00:01:35.798000,0 days 00:01:37.940695652,4
MAG,Haas F1 Team,18.0,13.0,0 days 00:01:36.654000,0 days 00:01:38.670416666,2
BOT,Kick Sauber,13.0,14.0,0 days 00:01:36.608000,0 days 00:01:38.320382978,3
OCO,Alpine,15.0,15.0,0 days 00:01:36.232000,0 days 00:01:38.861680851,3
GAS,Alpine,17.0,16.0,0 days 00:01:36.642000,0 days 00:01:39.027826086,3
SAR,Williams,19.0,17.0,0 days 00:01:34.900000,0 days 00:01:37.994931818,4
ZHO,Kick Sauber,20.0,18.0,0 days 00:01:37.160000,0 days 00:01:39.781000,3
RIC,RB,11.0,19.0,,,0
ALB,Williams,14.0,20.0,,,0
VER,Red Bull Racing,1.0,1.0,0 days 00:01:38.406000,0 days 00:01:39.818500,2
NOR,McLaren,4.0,2.0,0 days 00:01:38.751000,0 days 00:01:40.793869565,1
PER,Red Bull Racing,2.0,3.0,0 days 00:01:39.388000,0 days 00:01:40.520604651,2
LEC,Ferrari,6.0,4.0,0 days 00:01:39.384000,0 days 00:01:40.979159090,1
SAI,Ferrari,7.0,5.0,0 days 00:01:39.764000,0 days 00:01:41.203000,1
RUS,Mercedes,8.0,6.0,0 days 00:01:40.112000,0 days 00:01:41.295511627,2
